City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Yagodnoye,RU,2021-01-24 22:36:18,62.55,149.6667,-29.13,82,98,2.48
91,Cherskiy,RU,2021-01-24 22:34:39,68.75,161.3,-25.33,86,100,7.18
92,Baniachang,BD,2021-01-24 22:36:18,24.5167,91.3667,56.39,69,0,4.68
93,Castro,BR,2021-01-24 22:34:16,-24.7911,-50.0119,65.32,95,100,4.29
94,Kabalo,CD,2021-01-24 22:36:19,-6.05,26.9167,68.74,95,100,3.51
95,Victoria,HK,2021-01-24 22:31:35,22.2855,114.1577,64.0,78,87,16.28
96,San Antonio Del Tequendama,CO,2021-01-24 22:36:20,4.6189,-74.3539,60.8,63,75,8.05
97,Altay,CN,2021-01-24 22:36:20,47.8667,88.1167,1.17,88,100,2.19
98,Saint-Philippe,RE,2021-01-24 22:34:24,-21.3585,55.7679,78.8,78,75,3.44
99,Barrow,US,2021-01-24 22:34:29,71.2906,-156.7887,-4.0,77,1,14.97
100,Malakal,SS,2021-01-24 22:36:20,9.5334,31.6605,80.87,22,65,7.78
101,Mirabad,AF,2021-01-24 22:36:20,30.4362,61.8383,36.01,58,0,4.03
102,Macin,RO,2021-01-24 22:36:21,45.2437,28.1356,43.0,93,75,2.3
103,Nymburk,CZ,2021-01-24 22:36:21,50.1861,15.0417,36.0,93,90,10.36
104,Marmaris,TR,2021-01-24 22:36:21,36.855,28.2742,61.0,77,75,13.8
105,Qaqortoq,GL,2021-01-24 22:34:59,60.7167,-46.0333,26.6,28,0,29.93
106,Yerofey Pavlovich,RU,2021-01-24 22:36:21,53.9667,121.9667,-11.83,84,100,2.84
107,Waipawa,NZ,2021-01-24 22:36:22,-41.4122,175.5153,71.01,56,0,23.02
108,Udachnyy,RU,2021-01-24 22:31:21,66.4167,112.4,-39.82,79,3,2.39
109,Karratha,AU,2021-01-24 22:34:31,-20.7377,116.8463,82.6,38,40,14.54
110,General Roca,AR,2021-01-24 22:36:22,-39.0333,-67.5833,95.0,31,0,3.44
111,Port Elizabeth,ZA,2021-01-24 22:34:41,-33.918,25.5701,66.2,82,90,8.05
112,Sandwick,GB,2021-01-24 22:36:22,60.0,-1.25,37.4,87,40,10.36
113,Deputatskiy,RU,2021-01-24 22:34:53,69.3,139.9,-37.57,82,92,4.63
114,High Level,CA,2021-01-24 22:36:23,58.5169,-117.136,-5.8,71,90,5.75
115,Dingle,PH,2021-01-24 22:34:25,10.9995,122.6711,75.83,92,28,7.02
116,Moche,PE,2021-01-24 22:36:23,-8.1711,-79.0092,73.4,83,40,9.22
117,Leningradskiy,RU,2021-01-24 22:35:08,69.3833,178.4167,-16.8,85,0,0.85
118,Itapecerica,BR,2021-01-24 22:36:23,-20.4725,-45.1256,68.14,79,46,3.38
119,Okato,NZ,2021-01-24 22:36:23,-39.2,173.8833,68.0,71,0,8.01
120,Malindi,KE,2021-01-24 22:36:23,-3.2175,40.1191,77.07,88,77,9.71
121,Daru,PG,2021-01-24 22:34:16,-9.0763,143.2092,80.91,81,99,11.45
122,Mataura,NZ,2021-01-24 22:34:17,-46.1927,168.8643,60.01,85,99,21.0
123,Itoman,JP,2021-01-24 22:36:24,26.1247,127.6694,64.4,82,75,5.75
124,Havelock,US,2021-01-24 22:36:13,34.8791,-76.9013,44.01,42,1,1.01
125,Ostrovnoy,RU,2021-01-24 22:36:24,68.0531,39.5131,14.38,95,98,9.82
126,Saskylakh,RU,2021-01-24 22:34:18,71.9167,114.0833,-38.56,78,1,6.73
127,Virginia Beach,US,2021-01-24 22:36:24,36.8529,-75.978,41.0,45,90,1.5
128,Xicotencatl,MX,2021-01-24 22:36:24,23.0167,-98.8833,82.99,70,100,3.0
129,Aschersleben,DE,2021-01-24 22:36:25,51.75,11.4667,35.01,92,100,7.72
130,Simi,SL,2021-01-24 22:36:25,9.5667,-12.35,72.1,47,0,2.08
