City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
78,Rudbar,AF,30.15,62.6,37.22,56,0,0.92,clear sky,2021-01-24 23:39:04
79,Dingle,PH,10.9995,122.6711,78.51,88,3,7.9,light rain,2021-01-24 23:39:04
80,Mahbubnagar,IN,16.7333,77.9833,64.78,61,34,2.95,scattered clouds,2021-01-24 23:39:05
81,Bilibino,RU,68.0546,166.4372,-29.45,82,98,1.43,overcast clouds,2021-01-24 23:39:05
82,Upernavik,GL,72.7868,-56.1549,13.53,93,31,13.98,scattered clouds,2021-01-24 23:39:05
83,Sinnamary,GF,5.3833,-52.95,76.73,79,55,10.04,broken clouds,2021-01-24 23:39:05
84,Te Anau,NZ,-45.4167,167.7167,62.47,69,100,8.5,overcast clouds,2021-01-24 23:39:05
85,Khatanga,RU,71.9667,102.5,-18.24,88,99,9.33,overcast clouds,2021-01-24 23:39:06
86,Bluff,NZ,-46.6,168.3333,60.01,84,99,21.0,overcast clouds,2021-01-24 23:39:06
87,Vardo,NO,70.3705,31.1107,21.2,73,75,16.11,light snow,2021-01-24 23:39:06
88,Saint Anthony,US,45.0205,-93.218,26.6,53,1,6.91,clear sky,2021-01-24 23:39:06
89,Gambela,ET,8.25,34.5833,77.04,44,32,2.08,scattered clouds,2021-01-24 23:39:06
90,Gavle,SE,60.6745,17.1417,28.99,89,100,4.0,overcast clouds,2021-01-24 23:39:06
91,Boden,SE,65.8252,21.6886,8.6,85,90,5.75,overcast clouds,2021-01-24 23:39:06
92,Anadyr,RU,64.75,177.4833,-13.0,77,0,4.47,clear sky,2021-01-24 23:36:40
93,Zenzeli,RU,45.9241,47.0474,32.13,96,10,12.55,clear sky,2021-01-24 23:39:07
94,East London,ZA,-33.0153,27.9116,67.86,70,99,12.35,overcast clouds,2021-01-24 23:39:07
95,Saint-Pierre,RE,-21.3393,55.4781,78.8,73,0,3.44,moderate rain,2021-01-24 23:35:49
96,Olinda,BR,-8.0089,-34.8553,78.8,69,40,12.66,scattered clouds,2021-01-24 23:36:06
97,San Anselmo,US,37.9747,-122.5616,48.99,93,40,6.91,moderate rain,2021-01-24 23:39:07
98,Arraial Do Cabo,BR,-22.9661,-42.0278,76.15,85,78,18.45,broken clouds,2021-01-24 23:39:08
